Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              679666 ns|              679706 ns|WR-NONSEQ | AFCD6E30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              679666 ns|              679706 ns|WR-DATA   | AFCD6E2C |  1/ 4 | -- | 5FABFCC0 |  OKAY  | ---- | ------- | - | ---------- |
|              679706 ns|              679716 ns|WR-DATA   | AFCD6E30 |  2/ 4 | -- | 9407E482 |  OKAY  | ---- | ------- | - | ---------- |
|              679716 ns|              679721 ns|WR-DATA   | AFCD6E34 |  3/ 4 | -- | E3EFB84C |  OKAY  | ---- | ------- | - | ---------- |
|              679721 ns|              679726 ns|WR-DATA   | AFCD6E38 |  4/ 4 | -- | A6E89D19 |  OKAY  | ---- | ------- | - | ---------- |
|              679726 ns|              679771 ns|WR-NONSEQ | AFCD6E40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              679726 ns|              679771 ns|WR-DATA   | AFCD6E3C |  1/ 4 | -- | 9B8D1775 |  OKAY  | ---- | ------- | - | ---------- |
|              679771 ns|              679781 ns|WR-DATA   | AFCD6E40 |  2/ 4 | -- | B2A82F6A |  OKAY  | ---- | ------- | - | ---------- |
|              679781 ns|              679786 ns|WR-DATA   | AFCD6E44 |  3/ 4 | -- | 0B0107C5 |  OKAY  | ---- | ------- | - | ---------- |
|              679786 ns|              679791 ns|WR-DATA   | AFCD6E48 |  4/ 4 | -- | 5AA210AC |  OKAY  | ---- | ------- | - | ---------- |
|              679791 ns|              679836 ns|WR-NONSEQ | AFCD6E50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              679791 ns|              679836 ns|WR-DATA   | AFCD6E4C |  1/ 4 | -- | D39738F1 |  OKAY  | ---- | ------- | - | ---------- |
|              679836 ns|              679846 ns|WR-DATA   | AFCD6E50 |  2/ 4 | -- | D17B2869 |  OKAY  | ---- | ------- | - | ---------- |
|              679846 ns|              679851 ns|WR-DATA   | AFCD6E54 |  3/ 4 | -- | 80184461 |  OKAY  | ---- | ------- | - | ---------- |
|              679851 ns|              679856 ns|WR-DATA   | AFCD6E58 |  4/ 4 | -- | FA9FF1DC |  OKAY  | ---- | ------- | - | ---------- |
|              679856 ns|              679901 ns|WR-NONSEQ | AFCD6E60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              679856 ns|              679901 ns|WR-DATA   | AFCD6E5C |  1/ 4 | -- | 0C5E0FA3 |  OKAY  | ---- | ------- | - | ---------- |
|              679901 ns|              679911 ns|WR-DATA   | AFCD6E60 |  2/ 4 | -- | FA8C8F82 |  OKAY  | ---- | ------- | - | ---------- |
|              679911 ns|              679916 ns|WR-DATA   | AFCD6E64 |  3/ 4 | -- | 40B69A65 |  OKAY  | ---- | ------- | - | ---------- |
|              679916 ns|              679921 ns|WR-DATA   | AFCD6E68 |  4/ 4 | -- | 4CAA75C9 |  OKAY  | ---- | ------- | - | ---------- |
|              679921 ns|              679966 ns|WR-NONSEQ | AFCD6E70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              679921 ns|              679966 ns|WR-DATA   | AFCD6E6C |  1/ 4 | -- | 2CBA45A5 |  OKAY  | ---- | ------- | - | ---------- |
|              679966 ns|              679976 ns|WR-DATA   | AFCD6E70 |  2/ 4 | -- | C70206DC |  OKAY  | ---- | ------- | - | ---------- |
|              679976 ns|              679981 ns|WR-DATA   | AFCD6E74 |  3/ 4 | -- | 24E222EA |  OKAY  | ---- | ------- | - | ---------- |
|              679981 ns|              679986 ns|WR-DATA   | AFCD6E78 |  4/ 4 | -- | C28A8B2C |  OKAY  | ---- | ------- | - | ---------- |
|              679986 ns|              680031 ns|WR-NONSEQ | AFCD6E80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 3 |           0|
|              679986 ns|              680031 ns|WR-DATA   | AFCD6E7C |  1/ 4 | -- | 98CD25AD |  OKAY  | ---- | ------- | - | ---------- |
|              680031 ns|              680041 ns|WR-DATA   | AFCD6E80 |  2/ 4 | -- | 8EDB719F |  OKAY  | ---- | ------- | - | ---------- |
|              680041 ns|              680046 ns|WR-DATA   | AFCD6E84 |  3/ 4 | -- | BF891A97 |  OKAY  | ---- | ------- | - | ---------- |
|              680046 ns|              680051 ns|WR-DATA   | AFCD6E88 |  4/ 4 | -- | 2BC5F617 |  OKAY  | ---- | ------- | - | ---------- |
|              680051 ns|              680091 ns|WR-NONSEQ | AFCD6E90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              680051 ns|              680091 ns|WR-DATA   | AFCD6E8C |  1/ 4 | -- | 3421B4A4 |  OKAY  | ---- | ------- | - | ---------- |
|              680091 ns|              680101 ns|WR-DATA   | AFCD6E90 |  2/ 4 | -- | A44819B2 |  OKAY  | ---- | ------- | - | ---------- |
|              680101 ns|              680106 ns|WR-DATA   | AFCD6E94 |  3/ 4 | -- | FB42649F |  OKAY  | ---- | ------- | - | ---------- |
|              680106 ns|              680111 ns|WR-DATA   | AFCD6E98 |  4/ 4 | -- | D780F191 |  OKAY  | ---- | ------- | - | ---------- |
|              680111 ns|              680156 ns|WR-NONSEQ | AFCD6EA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              680111 ns|              680156 ns|WR-DATA   | AFCD6E9C |  1/ 4 | -- | E10D31E4 |  OKAY  | ---- | ------- | - | ---------- |
|              680156 ns|              680166 ns|WR-DATA   | AFCD6EA0 |  2/ 4 | -- | C86FEA31 |  OKAY  | ---- | ------- | - | ---------- |
|              680166 ns|              680171 ns|WR-DATA   | AFCD6EA4 |  3/ 4 | -- | A160D4E8 |  OKAY  | ---- | ------- | - | ---------- |
|              680171 ns|              680176 ns|WR-DATA   | AFCD6EA8 |  4/ 4 | -- | 8E155B2F |  OKAY  | ---- | ------- | - | ---------- |
|              680176 ns|              680216 ns|WR-NONSEQ | AFCD6EB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 5 |           0|
|              680176 ns|              680216 ns|WR-DATA   | AFCD6EAC |  1/ 4 | -- | D4CEA1AA |  OKAY  | ---- | ------- | - | ---------- |
|              680216 ns|              680226 ns|WR-DATA   | AFCD6EB0 |  2/ 4 | -- | 074799F8 |  OKAY  | ---- | ------- | - | ---------- |
|              680226 ns|              680231 ns|WR-DATA   | AFCD6EB4 |  3/ 4 | -- | F56B4335 |  OKAY  | ---- | ------- | - | ---------- |
|              680231 ns|              680236 ns|WR-DATA   | AFCD6EB8 |  4/ 4 | -- | DF747A77 |  OKAY  | ---- | ------- | - | ---------- |
|              680236 ns|              680276 ns|WR-NONSEQ | AFCD6EC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 3 |           0|
|              680236 ns|              680276 ns|WR-DATA   | AFCD6EBC |  1/ 4 | -- | 392E1BFC |  OKAY  | ---- | ------- | - | ---------- |
|              680276 ns|              680286 ns|WR-DATA   | AFCD6EC0 |  2/ 4 | -- | 90F3ED95 |  OKAY  | ---- | ------- | - | ---------- |
|              680286 ns|              680291 ns|WR-DATA   | AFCD6EC4 |  3/ 4 | -- | 2051732E |  OKAY  | ---- | ------- | - | ---------- |
|              680291 ns|              680296 ns|WR-DATA   | AFCD6EC8 |  4/ 4 | -- | FFDC1EBE |  OKAY  | ---- | ------- | - | ---------- |
|              680296 ns|              680336 ns|WR-NONSEQ | AFCD6ED0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              680296 ns|              680336 ns|WR-DATA   | AFCD6ECC |  1/ 4 | -- | DC648125 |  OKAY  | ---- | ------- | - | ---------- |
|              680336 ns|              680346 ns|WR-DATA   | AFCD6ED0 |  2/ 4 | -- | A23D2049 |  OKAY  | ---- | ------- | - | ---------- |
|              680346 ns|              680351 ns|WR-DATA   | AFCD6ED4 |  3/ 4 | -- | 985A3F0A |  OKAY  | ---- | ------- | - | ---------- |
|              680351 ns|              680356 ns|WR-DATA   | AFCD6ED8 |  4/ 4 | -- | A5932BE9 |  OKAY  | ---- | ------- | - | ---------- |
|              680356 ns|              680401 ns|WR-NONSEQ | AFCD6EE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              680356 ns|              680401 ns|WR-DATA   | AFCD6EDC |  1/ 4 | -- | 063ADBB8 |  OKAY  | ---- | ------- | - | ---------- |
|              680401 ns|              680411 ns|WR-DATA   | AFCD6EE0 |  2/ 4 | -- | 5A3D0981 |  OKAY  | ---- | ------- | - | ---------- |
|              680411 ns|              680416 ns|WR-DATA   | AFCD6EE4 |  3/ 4 | -- | 91A09C8F |  OKAY  | ---- | ------- | - | ---------- |
|              680416 ns|              680421 ns|WR-DATA   | AFCD6EE8 |  4/ 4 | -- | 8C8974ED |  OKAY  | ---- | ------- | - | ---------- |
|              680421 ns|              680466 ns|WR-NONSEQ | AFCD6EF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              680421 ns|              680466 ns|WR-DATA   | AFCD6EEC |  1/ 4 | -- | 96BAA361 |  OKAY  | ---- | ------- | - | ---------- |
|              680466 ns|              680476 ns|WR-DATA   | AFCD6EF0 |  2/ 4 | -- | 539D1A9D |  OKAY  | ---- | ------- | - | ---------- |
|              680476 ns|              680481 ns|WR-DATA   | AFCD6EF4 |  3/ 4 | -- | 9BAAD539 |  OKAY  | ---- | ------- | - | ---------- |
|              680481 ns|              680486 ns|WR-DATA   | AFCD6EF8 |  4/ 4 | -- | 8F600F44 |  OKAY  | ---- | ------- | - | ---------- |
|              680486 ns|              680531 ns|WR-NONSEQ | AFCD6F00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 5 |           0|
|              680486 ns|              680531 ns|WR-DATA   | AFCD6EFC |  1/ 4 | -- | 3E85BA23 |  OKAY  | ---- | ------- | - | ---------- |
|              680531 ns|              680541 ns|WR-DATA   | AFCD6F00 |  2/ 4 | -- | 697ACFE3 |  OKAY  | ---- | ------- | - | ---------- |
|              680541 ns|              680546 ns|WR-DATA   | AFCD6F04 |  3/ 4 | -- | 8FC0C557 |  OKAY  | ---- | ------- | - | ---------- |
|              680546 ns|              680551 ns|WR-DATA   | AFCD6F08 |  4/ 4 | -- | 1D0F41FA |  OKAY  | ---- | ------- | - | ---------- |
|              680551 ns|              680591 ns|WR-NONSEQ | AFCD6F10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              680551 ns|              680591 ns|WR-DATA   | AFCD6F0C |  1/ 4 | -- | F5C96D48 |  OKAY  | ---- | ------- | - | ---------- |
|              680591 ns|              680601 ns|WR-DATA   | AFCD6F10 |  2/ 4 | -- | 55082857 |  OKAY  | ---- | ------- | - | ---------- |
|              680601 ns|              680606 ns|WR-DATA   | AFCD6F14 |  3/ 4 | -- | 025AEA2B |  OKAY  | ---- | ------- | - | ---------- |
|              680606 ns|              680611 ns|WR-DATA   | AFCD6F18 |  4/ 4 | -- | CCA8E776 |  OKAY  | ---- | ------- | - | ---------- |
|              680611 ns|              680656 ns|WR-NONSEQ | AFCD6F20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              680611 ns|              680656 ns|WR-DATA   | AFCD6F1C |  1/ 4 | -- | 60B824D6 |  OKAY  | ---- | ------- | - | ---------- |
|              680656 ns|              680666 ns|WR-DATA   | AFCD6F20 |  2/ 4 | -- | 756B0B4E |  OKAY  | ---- | ------- | - | ---------- |
|              680666 ns|              680671 ns|WR-DATA   | AFCD6F24 |  3/ 4 | -- | 92DE61AE |  OKAY  | ---- | ------- | - | ---------- |
|              680671 ns|              680676 ns|WR-DATA   | AFCD6F28 |  4/ 4 | -- | 511ECDA3 |  OKAY  | ---- | ------- | - | ---------- |
|              680676 ns|              680716 ns|WR-NONSEQ | AFCD6F30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              680676 ns|              680716 ns|WR-DATA   | AFCD6F2C |  1/ 4 | -- | 30159BE9 |  OKAY  | ---- | ------- | - | ---------- |
|              680716 ns|              680726 ns|WR-DATA   | AFCD6F30 |  2/ 4 | -- | 75090F0A |  OKAY  | ---- | ------- | - | ---------- |
|              680726 ns|              680731 ns|WR-DATA   | AFCD6F34 |  3/ 4 | -- | C087DADE |  OKAY  | ---- | ------- | - | ---------- |
|              680731 ns|              680736 ns|WR-DATA   | AFCD6F38 |  4/ 4 | -- | 31DEC7FC |  OKAY  | ---- | ------- | - | ---------- |
|              680736 ns|              680781 ns|WR-NONSEQ | AFCD6F40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              680736 ns|              680781 ns|WR-DATA   | AFCD6F3C |  1/ 4 | -- | 4089CAB4 |  OKAY  | ---- | ------- | - | ---------- |
|              680781 ns|              680791 ns|WR-DATA   | AFCD6F40 |  2/ 4 | -- | 42D6E663 |  OKAY  | ---- | ------- | - | ---------- |
|              680791 ns|              680796 ns|WR-DATA   | AFCD6F44 |  3/ 4 | -- | AA31C369 |  OKAY  | ---- | ------- | - | ---------- |
|              680796 ns|              680801 ns|WR-DATA   | AFCD6F48 |  4/ 4 | -- | 1FB14590 |  OKAY  | ---- | ------- | - | ---------- |
|              680801 ns|              680846 ns|WR-NONSEQ | AFCD6F50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              680801 ns|              680846 ns|WR-DATA   | AFCD6F4C |  1/ 4 | -- | 5A15ECD5 |  OKAY  | ---- | ------- | - | ---------- |
|              680846 ns|              680856 ns|WR-DATA   | AFCD6F50 |  2/ 4 | -- | 3968410D |  OKAY  | ---- | ------- | - | ---------- |
|              680856 ns|              680861 ns|WR-DATA   | AFCD6F54 |  3/ 4 | -- | 7A7D36A7 |  OKAY  | ---- | ------- | - | ---------- |
|              680861 ns|              680866 ns|WR-DATA   | AFCD6F58 |  4/ 4 | -- | 229F6AD6 |  OKAY  | ---- | ------- | - | ---------- |
|              680866 ns|              680911 ns|WR-NONSEQ | AFCD6F60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              680866 ns|              680911 ns|WR-DATA   | AFCD6F5C |  1/ 4 | -- | 33AAA336 |  OKAY  | ---- | ------- | - | ---------- |
|              680911 ns|              680921 ns|WR-DATA   | AFCD6F60 |  2/ 4 | -- | CAF25D2B |  OKAY  | ---- | ------- | - | ---------- |
|              680921 ns|              680926 ns|WR-DATA   | AFCD6F64 |  3/ 4 | -- | 02D0BC16 |  OKAY  | ---- | ------- | - | ---------- |
|              680926 ns|              680931 ns|WR-DATA   | AFCD6F68 |  4/ 4 | -- | 3C48B1D8 |  OKAY  | ---- | ------- | - | ---------- |
|              680931 ns|              680976 ns|WR-NONSEQ | AFCD6F70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              680931 ns|              680976 ns|WR-DATA   | AFCD6F6C |  1/ 4 | -- | A5964290 |  OKAY  | ---- | ------- | - | ---------- |
|              680976 ns|              680986 ns|WR-DATA   | AFCD6F70 |  2/ 4 | -- | F58DAD48 |  OKAY  | ---- | ------- | - | ---------- |
|              680986 ns|              680991 ns|WR-DATA   | AFCD6F74 |  3/ 4 | -- | B0C77B93 |  OKAY  | ---- | ------- | - | ---------- |
|              680991 ns|              680996 ns|WR-DATA   | AFCD6F78 |  4/ 4 | -- | E2F6372D |  OKAY  | ---- | ------- | - | ---------- |
|              680996 ns|              681041 ns|WR-NONSEQ | AFCD6F80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              680996 ns|              681041 ns|WR-DATA   | AFCD6F7C |  1/ 4 | -- | 9BCDBBA4 |  OKAY  | ---- | ------- | - | ---------- |
|              681041 ns|              681051 ns|WR-DATA   | AFCD6F80 |  2/ 4 | -- | 4E583AB1 |  OKAY  | ---- | ------- | - | ---------- |
|              681051 ns|              681056 ns|WR-DATA   | AFCD6F84 |  3/ 4 | -- | 8988326C |  OKAY  | ---- | ------- | - | ---------- |
|              681056 ns|              681061 ns|WR-DATA   | AFCD6F88 |  4/ 4 | -- | E6188EEA |  OKAY  | ---- | ------- | - | ---------- |
|              681061 ns|              681106 ns|WR-NONSEQ | AFCD6F90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              681061 ns|              681106 ns|WR-DATA   | AFCD6F8C |  1/ 4 | -- | 108F9E13 |  OKAY  | ---- | ------- | - | ---------- |
|              681106 ns|              681116 ns|WR-DATA   | AFCD6F90 |  2/ 4 | -- | C91C0494 |  OKAY  | ---- | ------- | - | ---------- |
|              681116 ns|              681121 ns|WR-DATA   | AFCD6F94 |  3/ 4 | -- | BB47C97F |  OKAY  | ---- | ------- | - | ---------- |
|              681121 ns|              681126 ns|WR-DATA   | AFCD6F98 |  4/ 4 | -- | 18334A94 |  OKAY  | ---- | ------- | - | ---------- |
|              681126 ns|              681171 ns|WR-NONSEQ | AFCD6FA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              681126 ns|              681171 ns|WR-DATA   | AFCD6F9C |  1/ 4 | -- | 5AC235B0 |  OKAY  | ---- | ------- | - | ---------- |
|              681171 ns|              681181 ns|WR-DATA   | AFCD6FA0 |  2/ 4 | -- | 1B62778C |  OKAY  | ---- | ------- | - | ---------- |
|              681181 ns|              681186 ns|WR-DATA   | AFCD6FA4 |  3/ 4 | -- | D46B4811 |  OKAY  | ---- | ------- | - | ---------- |
|              681186 ns|              681191 ns|WR-DATA   | AFCD6FA8 |  4/ 4 | -- | 78A11614 |  OKAY  | ---- | ------- | - | ---------- |
|              681191 ns|              681231 ns|WR-NONSEQ | AFCD6FB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              681191 ns|              681231 ns|WR-DATA   | AFCD6FAC |  1/ 4 | -- | 53C9F514 |  OKAY  | ---- | ------- | - | ---------- |
|              681231 ns|              681241 ns|WR-DATA   | AFCD6FB0 |  2/ 4 | -- | C63EDE16 |  OKAY  | ---- | ------- | - | ---------- |
|              681241 ns|              681246 ns|WR-DATA   | AFCD6FB4 |  3/ 4 | -- | C712EB9B |  OKAY  | ---- | ------- | - | ---------- |
|              681246 ns|              681251 ns|WR-DATA   | AFCD6FB8 |  4/ 4 | -- | 3E695572 |  OKAY  | ---- | ------- | - | ---------- |
|              681251 ns|              681296 ns|WR-NONSEQ | AFCD6FC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 2 |           0|
|              681251 ns|              681296 ns|WR-DATA   | AFCD6FBC |  1/ 4 | -- | D4F8C3C8 |  OKAY  | ---- | ------- | - | ---------- |
|              681296 ns|              681306 ns|WR-DATA   | AFCD6FC0 |  2/ 4 | -- | 95BECF6E |  OKAY  | ---- | ------- | - | ---------- |
|              681306 ns|              681311 ns|WR-DATA   | AFCD6FC4 |  3/ 4 | -- | 84CCFA54 |  OKAY  | ---- | ------- | - | ---------- |
|              681311 ns|              681316 ns|WR-DATA   | AFCD6FC8 |  4/ 4 | -- | 82F5C63D |  OKAY  | ---- | ------- | - | ---------- |
|              681316 ns|              681356 ns|WR-NONSEQ | AFCD6FD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              681316 ns|              681356 ns|WR-DATA   | AFCD6FCC |  1/ 4 | -- | DC2969FF |  OKAY  | ---- | ------- | - | ---------- |
|              681356 ns|              681366 ns|WR-DATA   | AFCD6FD0 |  2/ 4 | -- | 4C7A100A |  OKAY  | ---- | ------- | - | ---------- |
|              681366 ns|              681371 ns|WR-DATA   | AFCD6FD4 |  3/ 4 | -- | 1869A223 |  OKAY  | ---- | ------- | - | ---------- |
|              681371 ns|              681376 ns|WR-DATA   | AFCD6FD8 |  4/ 4 | -- | 30C1D9F4 |  OKAY  | ---- | ------- | - | ---------- |
|              681376 ns|              681416 ns|WR-NONSEQ | AFCD6FE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 3 |           0|
|              681376 ns|              681416 ns|WR-DATA   | AFCD6FDC |  1/ 4 | -- | 97F48D6E |  OKAY  | ---- | ------- | - | ---------- |
|              681416 ns|              681426 ns|WR-DATA   | AFCD6FE0 |  2/ 4 | -- | B6509448 |  OKAY  | ---- | ------- | - | ---------- |
|              681426 ns|              681431 ns|WR-DATA   | AFCD6FE4 |  3/ 4 | -- | 8EB0CB63 |  OKAY  | ---- | ------- | - | ---------- |
|              681431 ns|              681436 ns|WR-DATA   | AFCD6FE8 |  4/ 4 | -- | E381AF95 |  OKAY  | ---- | ------- | - | ---------- |
|              681436 ns|              681476 ns|WR-NONSEQ | AFCD6FF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              681436 ns|              681476 ns|WR-DATA   | AFCD6FEC |  1/ 4 | -- | 6D64A406 |  OKAY  | ---- | ------- | - | ---------- |
|              681476 ns|              681486 ns|WR-DATA   | AFCD6FF0 |  2/ 4 | -- | 26E84F8D |  OKAY  | ---- | ------- | - | ---------- |
|              681486 ns|              681491 ns|WR-DATA   | AFCD6FF4 |  3/ 4 | -- | 349883C9 |  OKAY  | ---- | ------- | - | ---------- |
|              681491 ns|              681496 ns|WR-DATA   | AFCD6FF8 |  4/ 4 | -- | 34637558 |  OKAY  | ---- | ------- | - | ---------- |
|              681496 ns|              681536 ns|WR-NONSEQ | AFCD7000 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              681496 ns|              681536 ns|WR-DATA   | AFCD6FFC |  1/ 4 | -- | 7C6B6E3E |  OKAY  | ---- | ------- | - | ---------- |
|              681536 ns|              681546 ns|WR-DATA   | AFCD7000 |  2/ 4 | -- | 2A1AA6DF |  OKAY  | ---- | ------- | - | ---------- |
